================ Training Loss (Mon May 27 10:09:40 2019) ================
(epoch: 28, iters: 200, time: 2.242, data: 0.002) D_A: 0.221 G_A: 0.226 cycle_A: 2.444 idt_A: 0.407 D_B: 0.596 G_B: 0.562 cycle_B: 1.051 idt_B: 1.201 
(epoch: 29, iters: 100, time: 0.310, data: 0.415) D_A: 0.846 G_A: 0.605 cycle_A: 2.055 idt_A: 0.717 D_B: 0.491 G_B: 1.246 cycle_B: 1.416 idt_B: 0.901 
(epoch: 29, iters: 200, time: 0.299, data: 0.002) D_A: 0.387 G_A: 0.855 cycle_A: 1.848 idt_A: 1.047 D_B: 0.356 G_B: 0.860 cycle_B: 2.273 idt_B: 0.862 
(epoch: 30, iters: 100, time: 0.305, data: 0.264) D_A: 0.445 G_A: 1.736 cycle_A: 2.180 idt_A: 0.884 D_B: 0.485 G_B: 0.755 cycle_B: 1.582 idt_B: 1.226 
(epoch: 30, iters: 200, time: 2.415, data: 0.002) D_A: 0.482 G_A: 0.826 cycle_A: 2.205 idt_A: 0.789 D_B: 0.551 G_B: 1.993 cycle_B: 1.851 idt_B: 1.053 
(epoch: 31, iters: 100, time: 0.296, data: 0.310) D_A: 0.269 G_A: 2.139 cycle_A: 1.419 idt_A: 0.642 D_B: 0.304 G_B: 1.115 cycle_B: 1.463 idt_B: 0.980 
(epoch: 31, iters: 200, time: 0.304, data: 0.003) D_A: 0.417 G_A: 1.490 cycle_A: 1.668 idt_A: 0.706 D_B: 0.306 G_B: 0.482 cycle_B: 2.020 idt_B: 0.836 
(epoch: 32, iters: 100, time: 0.297, data: 0.293) D_A: 0.189 G_A: 1.437 cycle_A: 1.493 idt_A: 2.693 D_B: 0.398 G_B: 0.915 cycle_B: 4.159 idt_B: 0.652 
(epoch: 32, iters: 200, time: 2.619, data: 0.003) D_A: 0.413 G_A: 1.971 cycle_A: 2.975 idt_A: 0.739 D_B: 0.240 G_B: 0.721 cycle_B: 1.917 idt_B: 1.375 
(epoch: 33, iters: 100, time: 0.303, data: 0.250) D_A: 0.962 G_A: 0.400 cycle_A: 3.166 idt_A: 0.875 D_B: 0.621 G_B: 0.716 cycle_B: 1.339 idt_B: 1.487 
(epoch: 33, iters: 200, time: 0.301, data: 0.002) D_A: 1.273 G_A: 0.365 cycle_A: 0.871 idt_A: 1.395 D_B: 0.632 G_B: 0.535 cycle_B: 2.856 idt_B: 0.518 
(epoch: 34, iters: 100, time: 0.306, data: 0.216) D_A: 0.286 G_A: 0.426 cycle_A: 1.654 idt_A: 0.982 D_B: 0.621 G_B: 0.676 cycle_B: 2.044 idt_B: 0.904 
(epoch: 34, iters: 200, time: 2.437, data: 0.002) D_A: 0.680 G_A: 0.614 cycle_A: 2.600 idt_A: 0.666 D_B: 0.396 G_B: 0.758 cycle_B: 1.626 idt_B: 1.131 
(epoch: 35, iters: 100, time: 0.303, data: 0.407) D_A: 0.675 G_A: 0.780 cycle_A: 1.802 idt_A: 1.227 D_B: 0.910 G_B: 0.408 cycle_B: 3.005 idt_B: 0.768 
(epoch: 35, iters: 200, time: 0.300, data: 0.002) D_A: 0.602 G_A: 1.046 cycle_A: 1.986 idt_A: 0.801 D_B: 0.544 G_B: 0.867 cycle_B: 1.565 idt_B: 0.942 
(epoch: 36, iters: 100, time: 0.302, data: 0.251) D_A: 0.331 G_A: 2.190 cycle_A: 2.051 idt_A: 0.618 D_B: 0.402 G_B: 1.041 cycle_B: 1.388 idt_B: 0.802 
(epoch: 36, iters: 200, time: 2.800, data: 0.002) D_A: 0.508 G_A: 1.729 cycle_A: 1.905 idt_A: 0.964 D_B: 0.824 G_B: 0.536 cycle_B: 2.433 idt_B: 0.817 
